commune_code,quartier,region,departement,milieu_residence,nb_enfants_0_4,nb_enfants_5_15,nb_adultes_H,nb_adultes_F,taille_menage,statut_occupation,type_habitat,proxy_niveau_vie,proxy_niveau_vie_label,cm_sexe,cm_age,cm_tranche_age,repondant_statut,repondant_est_cm,cm_branche_etudes,cm_niveau_etudes,cm_alpha_francais,cm_alpha_anglais,cm_alpha_arabe,cm_alpha_lng_nat,cm_est_alphabetise,cm_situation_matrimoniale,cm_statut_emploi,cm_secteur_emploi,cm_revenu,src__v1,src__v2,src__v3,src__v4,src__v5,src__v6,src__v7,sources_dechets_liste,nb_sources_dechets,nat__v8,nat__v9,nat__v10,nat__v11,nat__v12,nat__v13,nat__v14,nat__v15,nat__v16,nat__v17,natures_dechets_liste,nb_natures_dechets,mode_stockage,stockage_couvert,place_stockage,capacite_stockage_suffisante,tri_avant_evacuation,revente_dechets,types_revendus_liste,raison_non_revente,proportion_traitee_soi,traitement_enfouissement,traitement_incineration,traitement_recyclage,traitement_compostage,au_moins_un_traitement,acces_benne_tasseuse,benne_service_principal,benne_point_distance,benne_point_nettoyage,benne_heure_convient,benne_frequence,satisfaction_benne,service_alternatif_type,service_alternatif_raison,a_service_alternatif,service_evacuation_payant,montant_evacuation_tranche,frequence_paiement,montant_mensuel_evacuation_fcfa,responsable_evacuation,existence_bacs_quartier,satisfaction_bacs_quartier,corbeilles_rue_presentes,satisfaction_corbeilles_disposition,satisfaction_corbeilles_qualite,acces_depotoire_normalise,depot_sauvage_rue,eaux_usees_rue,depot_sauvage_observe,dernier_depot_sauvage,contact_autorites_depot,satisfaction_reaction_autorites,nuisible__v23,nuisible__v24,nuisible__v25,nuisible__v26,nuisible__v27,nuisible__v28,nuisible__v29,nuisibles_liste,nb_nuisibles,service_balayage_rues,satisfaction_balayage,operations_nettoyage_quartier,place_publique_presence,place_publique_gestionnaire,place_publique_salubrite,marche_present,marche_gestionnaire,marche_gestion_qualite,connait_UCG,campagne_sensibilisation,satisfaction_sensibilisation,duree_quartier_sup_1mois,maladie__v30,maladie__v31,maladie__v32,maladie__v33,maladie__v34,maladie__v35,maladie__v36,maladie__v37,maladie__v38,maladies_declarees_liste,nb_maladies_declarees,aucune_maladie,nb_types_maladies_menage,maladie_potentiellement_liee_dechets,perception_risque_sanitaire,suggestions_amelioration
18,Liberté 6,,,,5,5,5,5,20.0,Propriétaire,Appartement,2,Moyen-haut,Homme,82,60 ans et plus,Chef de ménage,Oui,Franco-arabe,Secondaire,Non,Non,Oui,Oui,Oui,,,,,0,1,0,0,0,0,0,Gestion foyer hors alimentation,1,0,1,0,0,0,1,0,0,0,0,Papier / Carton | Déchets verts,2,Sac plastique,Oui,Dans la cour,Oui,Oui,Oui,Verre,,Une partie,Oui (totalité),,,,Oui,,,,,,,,,,Non,,,,0.0,,Non,,Oui,Satisfait / Bon,Satisfait / Bon,Oui,"Oui, très souvent","Oui, rarement","Oui, rarement",,,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Oui,Opérateur privé,Satisfait / Bon,Non,,,Oui,Non,,Moins d'un mois,0,0,1,0,0,1,0,0,0,Rhume | Nausées / Vomissements,2,0,2,Oui,,Er
6,Point E,,,,0,0,2,2,4.0,Propriétaire,Appartement,2,Moyen-haut,Homme,99,60 ans et plus,Conjoint(e) du CM,Non,Aucun,Supérieur,Oui,Non,Non,Oui,Oui,,,,,1,0,0,0,1,0,0,Consommation alimentaire / cuisine | Entretien du logement,2,1,1,1,1,1,1,1,0,1,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Déchets électroménagers | Déchets verts | Métal | Médicaments,8,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Oui,Pas satisfait / Mauvais,Non,,,Oui,"Oui, rarement","Oui, rarement","Oui, rarement",,,,1,1,1,1,0,1,0,Moustiques | Mouches | Cafards | Souris | Rats,5,,,Non,Non,,,,,,Non,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,METTRE DES CORBEILLES DE RUE ET VIDER LES BACS A ORDURE
6,Point E,,,,1,2,1,2,6.0,Propriétaire,Appartement,2,Moyen-haut,Homme,40,35-44 ans,Conjoint(e) du CM,Non,Aucun,Primaire,Oui,Non,Ne sait pas,Oui,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Entretien du logement,3,1,1,0,1,0,1,1,0,1,0,Plastiques | Papier / Carton | Vêtements / Tissus | Déchets verts | Métal | Médicaments,6,Poubelle sans couvercle,Non,Dans la cour,Oui,Non,Non,,Pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Oui, rarement","Non, jamais","Oui, rarement",,,,1,1,1,1,1,0,0,Moustiques | Mouches | Cafards | Souris | Vers,5,,,Non,Non,,,,,,Non,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,LES BENNES TASSEUSES DOIVENT VENIR A TEMPS POUR EVACUER LES DECHETS REGULIEREMENT
6,Point E,,,,0,8,4,3,15.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Homme,58,45-59 ans,Chef de ménage,Oui,Aucun,Secondaire,Oui,Non,Non,Oui,Oui,,,,,1,1,1,1,1,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Élevage | Animaux domestiques | Entretien du logement,5,1,1,1,0,0,1,0,0,1,0,Plastiques | Papier / Carton | Restes d'aliments | Déchets verts | Médicaments,5,Poubelle avec couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Oui,Satisfait / Bon,Satisfait / Bon,Oui,"Non, jamais","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,,,Non,Non,,,,,,Oui,Non,,1 mois et plus,1,1,0,0,0,0,0,0,0,Fièvre | Asthme,2,0,2,Oui,,UCG DOIT VENIR A POINT E POUR DEBOUCHER LES CANAUX
8,GRAND DAKAR,,,,5,2,3,0,10.0,Locataire,Baraque / Habitat précaire,0,Faible,Homme,60,60 ans et plus,Fils/Fille du CM,Non,Aucun,Supérieur,Oui,Non,Non,Oui,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation,2,1,0,1,0,0,0,0,0,0,0,Plastiques | Restes d'aliments,2,Poubelle sans couvercle,Oui,Dans la cour,Oui,Oui,Non,,Pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,1,1,0,0,0,0,0,Moustiques | Mouches,2,,,Oui,Non,,,,,,Non,Oui,Oui,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,dépôt de poubelle d' avantage dans le qartier
8,GRAND DAKAR,,,,1,3,3,2,9.0,Locataire,Baraque / Habitat précaire,0,Faible,Homme,49,45-59 ans,Conjoint(e) du CM,Non,Français,,Non,Non,Oui,Non,Oui,,,,,1,0,0,0,0,0,0,Consommation alimentaire / cuisine,1,1,0,0,0,0,0,0,0,0,0,Plastiques,1,Poubelle sans couvercle,Oui,Dans la cour,Oui,Non,Non,,Pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Oui, rarement","Non, jamais","Oui, rarement",,,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Oui,UCG,Satisfait / Bon,Oui,UCG,Satisfait / Bon,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,CREER DES POINT DE DEPOTS POUR CHERCHER EUX MEME
8,GRAND DAKAR,,,,1,14,8,6,29.0,Locataire,Appartement,1,Moyen-bas,Femme,52,45-59 ans,Frère/Sœur du CM,Non,Français,,Non,Non,Oui,Non,Oui,,,,,1,0,0,0,0,0,1,Consommation alimentaire / cuisine | Autre source,2,1,0,0,0,0,1,0,0,0,0,Plastiques | Déchets verts,2,Poubelle sans couvercle,Non,Dans la cour,Oui,Non,Non,,Manque de temps,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Oui, très souvent","Oui, rarement","Oui, rarement",,,,1,1,0,0,1,0,0,Moustiques | Mouches | Vers,3,,,Oui,Non,,,,,,Oui,Non,,1 mois et plus,0,1,1,0,0,0,0,0,0,Asthme | Rhume,2,0,2,Oui,,BEAUCOUP SENSIBIlISATIONS SUR L'IMPORTANCE DE LA PROPRIÉTÉ
8,GRAND DAKAR,,,,0,0,0,0,0.0,Locataire,Baraque / Habitat précaire,0,Faible,Femme,50,45-59 ans,Fils/Fille du CM,Non,Coranique / Daara,,Non,Non,Oui,Non,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation,2,1,0,1,1,1,0,0,0,0,0,Plastiques | Restes d'aliments | Vêtements / Tissus | Déchets électroménagers,4,Poubelle sans couvercle,Oui,Dans la cour,Oui,Oui,Non,,Pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Oui,Pas satisfait / Mauvais,,Oui,"Oui, rarement","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,,,Non,Non,,,,,,Oui,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,IMPORTANCE DE  LA PROPRIÉTÉ
8,GRAND DAKAR,,,,1,1,1,0,3.0,Propriétaire,Chambre(s) en bande,1,Moyen-bas,Homme,70,60 ans et plus,Conjoint(e) du CM,Non,Aucun,Secondaire,Oui,Non,Non,Oui,Oui,,,,,1,1,1,0,0,0,0,Consommation alimentaire / cuisine | Gestion foyer hors alimentation | Élevage,3,1,1,1,1,1,0,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Déchets électroménagers,5,Poubelle sans couvercle,Non,Dans la cour,Oui,Non,Non,,Pas intéressé,Aucune partie,,,,,Non,,,,,,,,,,Non,,,,0.0,,Non,,Non,,,Non,"Oui, rarement","Non, jamais","Non, jamais",,,,1,0,0,0,0,0,0,Moustiques,1,,,Non,Non,,,,,,Non,Non,,1 mois et plus,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non,,Apprendre d avatanges les notions de la propriété
8,Allianz,,,,1,2,1,1,5.0,Propriétaire,Appartement,2,Moyen-haut,Femme,59,45-59 ans,Conjoint(e) du CM,Non,Aucun,Primaire,Non,Non,Non,Oui,Oui,,,,,0,1,0,0,0,0,0,Gestion foyer hors alimentation,1,1,1,0,0,0,0,0,0,0,0,Plastiques | Papier / Carton,2,Poubelle avec couvercle,Oui,Dans la maison / chambre,Non,Non,Non,,Pas connaissance,La totalité,Oui (totalité),,,,Oui,,,,,,,,,,Non,,,,0.0,,Oui,Pas satisfait / Mauvais,Oui,Satisfait / Bon,Satisfait / Bon,Oui,"Oui, rarement","Oui, très souvent","Oui, fréquemment",2 à 7 jours,Non,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Non,,,,,,Non,Oui,Oui,1 mois et plus,1,0,0,0,0,0,0,0,0,Fièvre,1,0,1,Non,,Plus d effort venir matin et soir surtout après les fetes
